Entity;Code;Year;death_tabac;death_alcool;death_drug
Jordan;JOR;2017;65,82876443;0,266411272;1,136024521
Kazakhstan;KAZ;2017;118,9759132;8,692704567;4,231554328
Kenya;KEN;2017;50,34730039;2,264358826;0,494888115
Kiribati;KIR;2017;266,1345977;0,456836921;0,612831495
Kuwait;KWT;2017;42,30328714;0,207385529;0,61634993
Kyrgyzstan;KGZ;2017;88,87143962;6,847602891;2,39976358
Laos;LAO;2017;141,1888983;1,734428488;0,514814209
Latin America and Caribbean;;2017;58,71879003;3,726099088;1,012742727
Latvia;LVA;2017;105,8184643;10,69072139;2,269039685
Lebanon;LBN;2017;113,5742388;0,328771104;4,318502338
Lesotho;LSO;2017;156,3510336;2,627486252;2,16769038
Liberia;LBR;2017;50,45470127;2,029731395;1,547611158
Libya;LBY;2017;62,18566953;0,596845204;8,199758127
Lithuania;LTU;2017;101,0045372;9,239072049;3,971817805
Low SDI;;2017;94,94837984;1,703686677;1,324899303
Low-middle SDI;;2017;94,72221337;2,394220553;1,132076853
Luxembourg;LUX;2017;67,78226523;3,038910223;2,78075852
Macedonia;MKD;2017;125,8452258;0,672135327;0,478259768
Madagascar;MDG;2017;54,29157552;1,955816277;0,532648237
Malawi;MWI;2017;54,61345689;2,713578899;0,681360633
Malaysia;MYS;2017;99,55747769;1,575910578;1,496871232
Maldives;MDV;2017;65,14218307;0,28142702;0,602506517
Mali;MLI;2017;34,60573664;1,274936104;0,829544788
Malta;MLT;2017;69,10718452;0,634974485;1,609409989
Marshall Islands;MHL;2017;130,5187038;1,495920149;1,355155314
Mauritania;MRT;2017;26,34414353;1,450852548;1,533347974
Mauritius;MUS;2017;69,96643467;4,650661538;1,214079433
Mexico;MEX;2017;47,72622386;3,971748466;1,123186155
Micronesia (country);FSM;2017;116,2040408;1,140395757;0,957478615
Middle SDI;;2017;95,08054352;1,649731878;1,199137024
Moldova;MDA;2017;112,2906222;9,292130082;1,206181127
Mongolia;MNG;2017;136,9997837;13,87031068;1,282693811
Montenegro;MNE;2017;169,0407861;1,413261039;2,147992635
Morocco;MAR;2017;59,05597812;0,368601178;1,882400367
Mozambique;MOZ;2017;90,9997098;3,899751101;1,586168588
Myanmar;MMR;2017;175,0551054;1,500902142;0,662928699
Namibia;NAM;2017;89,26940988;2,434991164;1,371286012
Nepal;NPL;2017;124,9786114;1,160377082;0,394920465
Netherlands;NLD;2017;87,7176378;1,864263101;1,067678209
New Zealand;NZL;2017;53,65833744;1,063253583;1,547576271
Nicaragua;NIC;2017;33,37594071;7,271933499;0,543641273
Niger;NER;2017;24,04398606;1,45748781;0,806476636
Nigeria;NGA;2017;17,71823834;2,035326109;1,775520269
North Africa and Middle East;;2017;76,43395884;0,335718428;1,792018746
North America;;2017;75,05084363;3,148837779;17,3535203
North Korea;PRK;2017;117,8129974;1,296600238;1,252966718
Northern Ireland;;2017;64,52364146;3,401385262;3,013093729
Northern Mariana Islands;MNP;2017;54,05580726;2,528664676;0,638984989
Norway;NOR;2017;60,00948624;3,330420066;4,547151501
Oceania;;2017;206,1107332;1,204986556;0,526357158
Oman;OMN;2017;51,07297136;0,282805353;0,398404753
Pakistan;PAK;2017;128,6634632;1,042338573;0,664312454
Palestine;PSE;2017;49,91136595;0,307545891;0,893780238
Panama;PAN;2017;38,56573761;0,706428608;0,652589044
Papua New Guinea;PNG;2017;244,8949709;1,361537221;0,461524603
Paraguay;PRY;2017;85,88360054;4,118625893;0,408307471
Peru;PER;2017;22,79649502;0,893240807;1,19851217
Philippines;PHL;2017;140,1331251;1,631883069;0,680385449
Poland;POL;2017;108,8817663;8,269125737;0,624296416
Portugal;PRT;2017;50,88182691;1,637107279;0,803376191
Puerto Rico;PRI;2017;25,92508406;2,48072252;3,050415086
Qatar;QAT;2017;38,36612414;0,368414745;0,571375455
Romania;ROU;2017;111,9259673;2,163443942;1,196939147
Russia;RUS;2017;130,2112147;14,41633892;5,476380633
Rwanda;RWA;2017;83,59330312;2,810929575;0,477160666
Saint Lucia;LCA;2017;54,41995586;4,310669096;0,883286324
Saint Vincent and the Grenadines;VCT;2017;50,97440259;7,452965986;1,116221846
Samoa;WSM;2017;140,4268724;0,606762077;0,618806441
Sao Tome and Principe;STP;2017;40,31985686;1,867390043;1,146457109
Saudi Arabia;SAU;2017;34,81449363;0,363636182;1,763162293
Scotland;;2017;104,6753696;4,740084453;8,936486566
Senegal;SEN;2017;33,89544366;1,611104204;1,437824741
Serbia;SRB;2017;152,9469705;2,849600848;0,887483594
Seychelles;SYC;2017;85,07882193;0,832773956;0,784815789
Sierra Leone;SLE;2017;70,66273869;1,761172247;1,493296732
Singapore;SGP;2017;35,63097321;0,174744001;0,247135063
Slovakia;SVK;2017;90,19926022;3,193511261;0,686366348
Slovenia;SVN;2017;69,14600069;5,477073837;1,255609019
