Suisse(A)	31,4 
Suisse(F)	27,4 
Suisse(I)	31,1 
Autriche	32,9 
Belgique(Fla)	37,1 
Belgique(Fr)	23,2 
Bulgarie	5,5 
Danemark	74,6 
Finlande	43,3 
France	30,6 
Allemagne	46,4 
Hongrie	15,1 
Italie	36,7 
Pays-Bas	31,6 
Norvège	40,5 
Pologne	28,0 
Portugal	15,2 
Slovaquie	13,9 
Slovénie	22,4 
Espagne	24,0 
Suède	37,0 
Grande-Bretagne	47,2 
